scenario,threshold,longitude,latitude,frequency_change_per_year
ssp245,t10,-81.52211203384657,27.62319498667528,0.21111107
ssp245,t10,-81.29753321281669,27.62319498667528,0.22828278
ssp245,t10,-81.07295439178681,27.62319498667528,0.20606059
ssp245,t10,-80.84837557075693,27.62319498667528,0.2222222
ssp245,t10,-80.62379674972705,27.62319498667528,0.2212121
ssp245,t10,-82.64500613899597,27.3986161656454,0.19898985
ssp245,t10,-82.42042731796609,27.3986161656454,0.17979796
ssp245,t10,-82.19584849693621,27.3986161656454,0.16969694
ssp245,t10,-81.97126967590633,27.3986161656454,0.18787879
ssp245,t10,-81.74669085487645,27.3986161656454,0.18787877
ssp245,t10,-81.52211203384657,27.3986161656454,0.19898988
ssp245,t10,-81.29753321281669,27.3986161656454,0.20303027
ssp245,t10,-81.07295439178681,27.3986161656454,0.21616158
ssp245,t10,-80.84837557075693,27.3986161656454,0.21616158
ssp245,t10,-80.62379674972705,27.3986161656454,0.21515149
ssp245,t10,-80.39921792869717,27.3986161656454,0.20909089
ssp245,t10,-82.42042731796609,27.17403734461552,0.18787877
ssp245,t10,-82.19584849693621,27.17403734461552,0.15656564
ssp245,t10,-81.97126967590633,27.17403734461552,0.16464645
ssp245,t10,-81.74669085487645,27.17403734461552,0.18383837
ssp245,t10,-81.52211203384657,27.17403734461552,0.2030303
ssp245,t10,-81.29753321281669,27.17403734461552,0.17979796
ssp245,t10,-81.07295439178681,27.17403734461552,0.2191919
ssp245,t10,-80.84837557075693,27.17403734461552,0.23030302
ssp245,t10,-80.62379674972705,27.17403734461552,0.2292929
ssp245,t10,-80.39921792869717,27.17403734461552,0.17070705
ssp245,t10,-81.97126967590633,26.94945852358564,0.16060607
ssp245,t10,-81.74669085487645,26.94945852358564,0.15858586
ssp245,t10,-81.52211203384657,26.94945852358564,0.17878787
ssp245,t10,-81.29753321281669,26.94945852358564,0.16666669
ssp245,t10,-81.07295439178681,26.94945852358564,0.17171715
ssp245,t10,-80.84837557075693,26.94945852358564,0.189899
ssp245,t10,-80.62379674972705,26.94945852358564,0.1909091
ssp245,t10,-80.39921792869717,26.94945852358564,0.16767676
ssp245,t10,-80.17463910766729,26.94945852358564,0.15151513
ssp245,t10,-82.19584849693621,26.72487970255576,0.16969697
ssp245,t10,-81.97126967590633,26.72487970255576,0.15454546
ssp245,t10,-81.74669085487645,26.72487970255576,0.14040403
ssp245,t10,-81.52211203384657,26.72487970255576,0.15353535
ssp245,t10,-81.29753321281669,26.72487970255576,0.15252523
ssp245,t10,-81.07295439178681,26.72487970255576,0.15555556
ssp245,t10,-80.84837557075693,26.72487970255576,0.18787877
ssp245,t10,-80.62379674972705,26.72487970255576,0.18787877
ssp245,t10,-80.39921792869717,26.72487970255576,0.2111111
ssp245,t10,-80.17463910766729,26.72487970255576,0.18484849
ssp245,t10,-81.97126967590633,26.50030088152588,0.17070703
ssp245,t10,-81.74669085487645,26.50030088152588,0.15050504
ssp245,t10,-81.52211203384657,26.50030088152588,0.14747472
ssp245,t10,-81.29753321281669,26.50030088152588,0.13838382
ssp245,t10,-81.07295439178681,26.50030088152588,0.14343432
ssp245,t10,-80.84837557075693,26.50030088152588,0.1717172
ssp245,t10,-80.62379674972705,26.50030088152588,0.1717172
ssp245,t10,-80.39921792869717,26.50030088152588,0.20606063
ssp245,t10,-81.74669085487645,26.275722060496,0.14646463
ssp245,t10,-81.52211203384657,26.275722060496,0.12929292
ssp245,t10,-81.29753321281669,26.275722060496,0.14242424
ssp245,t10,-81.07295439178681,26.275722060496,0.14040403
ssp245,t10,-80.84837557075693,26.275722060496,0.16565655
ssp245,t10,-80.62379674972705,26.275722060496,0.16565655
ssp245,t10,-80.39921792869717,26.275722060496,0.16262624
ssp245,t10,-81.74669085487645,26.05114323946612,0.18181817
ssp245,t10,-81.52211203384657,26.05114323946612,0.13030303
ssp245,t10,-81.29753321281669,26.05114323946612,0.12323232
ssp245,t10,-81.07295439178681,26.05114323946612,0.13939394
ssp245,t10,-80.84837557075693,26.05114323946612,0.13535354
ssp245,t10,-80.62379674972705,26.05114323946612,0.13535354
ssp245,t10,-80.39921792869717,26.05114323946612,0.14242424
ssp245,t10,-81.29753321281669,25.826564418436238,0.12525252
ssp245,t10,-81.07295439178681,25.826564418436238,0.124242425
ssp245,t10,-80.84837557075693,25.826564418436238,0.12424243
ssp245,t10,-80.62379674972705,25.826564418436238,0.12626263
ssp245,t10,-80.39921792869717,25.826564418436238,0.13131312
ssp245,t10,-81.29753321281669,25.601985597406358,0.12727274
ssp245,t10,-81.07295439178681,25.601985597406358,0.11717173
ssp245,t10,-80.84837557075693,25.601985597406358,0.116161615
ssp245,t10,-80.62379674972705,25.601985597406358,0.119191915
ssp245,t10,-81.07295439178681,25.37740677637648,0.11616163
ssp245,t10,-80.84837557075693,25.37740677637648,0.11717171
ssp245,t10,-80.62379674972705,25.37740677637648,0.11717171
ssp245,t10,-81.74669085487645,24.703670313286835,0.13535354
ssp245,t25,-87.58574020165334,30.991877302123488,0.20404036
